,Unnamed: 0,Date,Time (GMT),Temperature,Conductivity (mS/cm)
0,0,2011/01/01,00:00,15.8,
1,1,2011/01/01,01:00,15.8,
2,2,2011/01/01,02:00,,
3,3,2011/01/01,03:00,15.7,
4,4,2011/01/01,04:00,15.5,
5,5,2011/01/01,05:00,15.5,
6,6,2011/01/01,06:00,15.6,
7,7,2011/01/01,07:00,15.6,
8,8,2011/01/01,08:00,15.8,
9,9,2011/01/01,09:00,15.8,
10,10,2011/01/01,10:00,16,
11,11,2011/01/01,11:00,16,
12,12,2011/01/01,12:00,16,
13,13,2011/01/01,13:00,16.3,
14,14,2011/01/01,14:00,16.4,
15,15,2011/01/01,15:00,16.4,
16,16,2011/01/01,16:00,16.6,
17,17,2011/01/01,17:00,17,
18,18,2011/01/01,18:00,17.2,
19,19,2011/01/01,19:00,17.4,
20,20,2011/01/01,20:00,17.1,
21,21,2011/01/01,21:00,16.8,
22,22,2011/01/01,22:00,16.7,
23,23,2011/01/01,23:00,16.6,
24,24,2011/01/02,00:00,16.5,
25,25,2011/01/02,01:00,16.3,
26,26,2011/01/02,02:00,16.2,
27,27,2011/01/02,03:00,16.1,
28,28,2011/01/02,04:00,16,
29,29,2011/01/02,05:00,15.9,
30,30,2011/01/02,06:00,15.9,
31,31,2011/01/02,07:00,16,
32,32,2011/01/02,08:00,15.8,
33,33,2011/01/02,09:00,15.7,
34,34,2011/01/02,10:00,15.5,
35,35,2011/01/02,11:00,15.4,
36,36,2011/01/02,12:00,15.1,
37,37,2011/01/02,13:00,15,
38,38,2011/01/02,14:00,14.8,
39,39,2011/01/02,15:00,14.5,
40,40,2011/01/02,16:00,14.3,
41,41,2011/01/02,17:00,14.1,
42,42,2011/01/02,18:00,14.1,
43,43,2011/01/02,19:00,14.2,
44,44,2011/01/02,20:00,14.3,
45,45,2011/01/02,21:00,14.4,
46,46,2011/01/02,22:00,14.3,
47,47,2011/01/02,23:00,14.3,
48,48,2011/01/03,00:00,14.4,
49,49,2011/01/03,01:00,14.3,
50,50,2011/01/03,02:00,14.3,
51,51,2011/01/03,03:00,14.3,
52,52,2011/01/03,04:00,14.3,
53,53,2011/01/03,05:00,14,
54,54,2011/01/03,06:00,14,
55,55,2011/01/03,07:00,13.7,
56,56,2011/01/03,08:00,13.6,
57,57,2011/01/03,09:00,13.4,
58,58,2011/01/03,10:00,13.1,
59,59,2011/01/03,11:00,13,
60,60,2011/01/03,12:00,13.1,
61,61,2011/01/03,13:00,12.9,
62,62,2011/01/03,14:00,12.9,
63,63,2011/01/03,15:00,12.5,
64,64,2011/01/03,16:00,12.4,
65,65,2011/01/03,17:00,12.6,
66,66,2011/01/03,18:00,12.5,
67,67,2011/01/03,19:00,12.8,
68,68,2011/01/03,20:00,12.6,
69,69,2011/01/03,21:00,12.8,
70,70,2011/01/03,22:00,12.9,
71,71,2011/01/03,23:00,13.1,
72,72,2011/01/04,00:00,13.5,
73,73,2011/01/04,01:00,13.9,
74,74,2011/01/04,02:00,14.2,
75,75,2011/01/04,03:00,14.3,
76,76,2011/01/04,04:00,14.4,
77,77,2011/01/04,05:00,14.5,
78,78,2011/01/04,06:00,14.6,
79,79,2011/01/04,07:00,14.6,
