Station ID,Group,Sample Date (mm/dd/yyyy),Sample Depth (cm),Wet Soil pH (pH units),Dry Soil pH (pH units),Soil Specific Conductance (uS/cm),Soil Salinity (ppt),Soil Moisture Content (%),Bulk Density (g/cm3),Organic Matter (%),Wet Volume (cm3),Dry Volume (cm3),Biomass Target Flora Species,Belowground Live Biomass (g/m2),Belowground Dead Biomass (g/m2),Organic Density (g/cm3),Total Carbon (g/kg),Carbon Density (mg/cm3),Total Nitrogen (g/kg),Total Phosphorus (mg/kg),Sand (%),Silt (%),Clay (%),Particle Size Mean (phi),Particle Size Median (phi),Particle Size Standard Deviation (phi),Radiometric Dating Method and Units,Isotope Concentration,Organization,Personnel,Comments,Latitude,Longitude
CRMS0115-BBG01,,9/15/2017,0 to 8,,,,,,,,,,Spartina patens (Aiton) Muhl.,421.65,1588.53,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,29.78170058,-89.91894604
CRMS0115-BBG01,,9/15/2017,8 to 16,,,,,,,,,,Spartina patens (Aiton) Muhl.,38.21,284.07,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,29.78170058,-89.91894604
CRMS0115-BBG01,,9/15/2017,16 to 24,,,,,,,,,,Spartina patens (Aiton) Muhl.,5.09,26.75,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,29.78170058,-89.91894604
CRMS0115-BBG02,,9/15/2017,0 to 8,,,,,,,,,,Spartina patens (Aiton) Muhl.,547.77,1910.82,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,29.78193431,-89.91930071
CRMS0115-BBG02,,9/15/2017,8 to 16,,,,,,,,,,Spartina patens (Aiton) Muhl.,94.26,444.58,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,29.78193431,-89.91930071
CRMS0115-BBG02,,9/15/2017,16 to 24,,,,,,,,,,Spartina patens (Aiton) Muhl.,6.36,379.61,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,29.78193431,-89.91930071
CRMS0115-BBG03,,9/15/2017,0 to 8,,,,,,,,,,Spartina patens (Aiton) Muhl.,1649.68,1527.38,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,29.78193961,-89.91952799
CRMS0115-BBG03,,9/15/2017,8 to 16,,,,,,,,,,Spartina patens (Aiton) Muhl.,123.56,766.87,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,29.78193961,-89.91952799
CRMS0115-BBG03,,9/15/2017,16 to 24,,,,,,,,,,Spartina patens (Aiton) Muhl.,45.85,239.49,,,,,,,,,,,,,,U.S. GEOL SURVEY (USGS),K. Hamm,,29.78193961,-89.91952799
CRMS0115-S01,,7/20/2009,0 to 4,3.61,3.59,2317.00,1.15,77.54,0.2600,37.18,324.29,89.02,,,,0.0967,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78107226,-89.91868617
CRMS0115-S01,,7/20/2009,4 to 8,3.74,3.60,2825.00,1.50,77.72,0.2200,45.17,324.29,82.48,,,,0.0994,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78107226,-89.91868617
CRMS0115-S01,,7/20/2009,8 to 12,4.14,3.97,3300.00,1.75,80.60,0.2000,63.55,324.29,93.82,,,,0.1271,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78107226,-89.91868617
CRMS0115-S01,,7/20/2009,12 to 16,4.79,4.52,3671.00,1.90,78.90,0.2100,51.80,324.29,79.23,,,,0.1088,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78107226,-89.91868617
CRMS0115-S01,,7/20/2009,16 to 20,4.48,4.30,3606.00,1.90,80.02,0.1700,50.17,324.29,78.05,,,,0.0853,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78107226,-89.91868617
CRMS0115-S01,,7/20/2009,20 to 24,4.18,4.16,3354.00,1.80,83.23,0.0300,55.53,324.29,18.38,,,,0.0167,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78107226,-89.91868617
CRMS0115-S02,,7/20/2009,0 to 4,4.10,3.80,712.00,0.35,80.51,0.2500,42.88,324.29,97.96,,,,0.1072,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78111660,-89.91865380
CRMS0115-S02,,7/20/2009,4 to 8,3.65,3.42,1486.00,0.75,76.09,0.2500,35.84,324.29,88.72,,,,0.0896,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78111660,-89.91865380
CRMS0115-S02,,7/20/2009,8 to 12,3.49,3.36,2139.00,1.10,75.91,0.2300,34.21,324.29,79.87,,,,0.0787,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78111660,-89.91865380
CRMS0115-S02,,7/20/2009,12 to 16,3.42,3.31,2716.00,1.40,75.66,0.2200,35.16,324.29,75.92,,,,0.0774,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78111660,-89.91865380
CRMS0115-S02,,7/20/2009,16 to 20,3.88,3.69,3472.00,1.80,76.84,0.2300,47.76,324.29,89.64,,,,0.1098,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78111660,-89.91865380
CRMS0115-S02,,7/20/2009,20 to 24,4.60,4.40,4056.00,2.20,78.69,0.2200,46.41,324.29,80.27,,,,0.1021,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78111660,-89.91865380
CRMS0115-S03,,7/20/2009,0 to 4,4.14,4.10,806.00,0.40,80.33,0.2400,38.47,324.29,98.95,,,,0.0923,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78112069,-89.91882942
CRMS0115-S03,,7/20/2009,4 to 8,3.97,3.82,1820.00,0.90,76.48,0.2400,40.45,324.29,81.52,,,,0.0971,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78112069,-89.91882942
CRMS0115-S03,,7/20/2009,8 to 12,4.08,4.02,2426.00,1.30,81.60,0.1800,53.62,324.29,71.73,,,,0.0965,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78112069,-89.91882942
CRMS0115-S03,,7/20/2009,12 to 16,4.70,4.48,2700.00,1.40,83.69,0.1600,54.84,324.29,67.32,,,,0.0877,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78112069,-89.91882942
CRMS0115-S03,,7/20/2009,16 to 20,4.92,4.74,2723.00,1.40,82.12,0.1500,54.63,324.29,64.63,,,,0.0819,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78112069,-89.91882942
CRMS0115-S03,,7/20/2009,20 to 24,4.56,4.20,2871.00,1.50,83.88,0.1300,62.01,324.29,82.25,,,,0.0806,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; Y. Rolufs,,29.78112069,-89.91882942
CRMS0115-S04,,5/16/2018,0 to 4,,,,,76.05,0.1500,59.58,324.29,171.72,,,,0.0894,287.410,43.112,21.450,1092.780,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"A. Plaisance, M. Reeves",Spartina patens is dominant species. Marsh not flooded.,29.78115554,-89.91877666
CRMS0115-S04,,5/16/2018,4 to 8,,,,,72.20,0.2700,45.34,324.29,93.48,,,,0.1224,224.720,60.674,17.340,1327.200,,,,,,,,,COASTAL ESTUARY SERVICES LLC,"A. Plaisance, M. Reeves",Spartina patens is dominant species. Marsh not flooded.,29.78115554,-89.91877666
CRMS0115-S04,,5/16/2018,8 to 12,,,,,67.79,0.3700,27.91,324.29,69.89,,,,0.1033,126.180,46.687,10.220,523.010,8.65,63.78,27.57,6.620,6.560,2.120,,,COASTAL ESTUARY SERVICES LLC,"A. Plaisance, M. Reeves",Spartina patens is dominant species. Marsh not flooded.,29.78115554,-89.91877666
CRMS0115-S04,,5/16/2018,12 to 16,,,,,69.68,0.3700,30.08,324.29,45.78,,,,0.1113,142.250,52.633,11.380,569.380,12.55,68.20,19.25,6.120,6.080,2.060,,,COASTAL ESTUARY SERVICES LLC,"A. Plaisance, M. Reeves",Spartina patens is dominant species. Marsh not flooded.,29.78115554,-89.91877666
