study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,,mean BD,median BD
Vincent_and_Dionne_2023,Webhannet,Webhannet1,single set of methods,0,5,Webhannet1-5,0.310809198,0.018874045,,0.646978189,0.590985042
Vincent_and_Dionne_2023,Webhannet,Webhannet1,single set of methods,5,10,Webhannet1-10,0.427772915,0.031828649,,0.626815872,0.595510423
Vincent_and_Dionne_2023,Webhannet,Webhannet1,single set of methods,10,15,Webhannet1-15,0.431353437,0.035806476,,0.616661611,0.574872693
Vincent_and_Dionne_2023,Webhannet,Webhannet1,single set of methods,15,20,Webhannet1-20,0.485260185,0.043669045,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet2,single set of methods,0,5,Webhannet2-5,0.465368396,0.034606916,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet2,single set of methods,5,10,Webhannet2-10,0.588399109,0.052031657,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet2,single set of methods,10,15,Webhannet2-15,0.592675843,0.051728067,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet2,single set of methods,15,20,Webhannet2-20,0.566816518,0.041756812,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet3,single set of methods,0,5,Webhannet3-5,1.37899825,0.133801477,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet3,single set of methods,5,10,Webhannet3-10,1.30082352,0.107180429,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet3,single set of methods,10,15,Webhannet3-15,1.369848027,0.113036218,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet3,single set of methods,15,20,Webhannet3-20,1.550067632,0.13987447,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet4,single set of methods,0,5,Webhannet4-5,1.058342616,0.099681862,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet4,single set of methods,5,10,Webhannet4-10,1.110359644,0.096181231,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet4,single set of methods,10,15,Webhannet4-15,1.204646722,0.093725757,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet4,single set of methods,15,20,Webhannet4-20,1.283816041,0.109097856,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet5,single set of methods,0,5,Webhannet5-5,0.426678867,0.02359957,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet5,single set of methods,5,10,Webhannet5-10,0.653942553,0.056833614,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet5,single set of methods,10,15,Webhannet5-15,0.680796467,0.058189015,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet5,single set of methods,15,20,Webhannet5-20,0.967834978,0.099333907,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet6,single set of methods,0,5,Webhannet6-5,0.586211012,0.045273144,,,
Vincent_and_Dionne_2023,Webhannet,Webhannet6,single set of methods,5,10,Webhannet6-10,0.819143857,0.077186223,,,
