Station ID,Group,Sample Date (mm/dd/yyyy),Sample Depth (cm),Wet Soil pH (pH units),Dry Soil pH (pH units),Soil Specific Conductance (uS/cm),Soil Salinity (ppt),Soil Moisture Content (%),Bulk Density (g/cm3),Organic Matter (%),Wet Volume (cm3),Dry Volume (cm3),Biomass Target Flora Species,Belowground Live Biomass (g/m2),Belowground Dead Biomass (g/m2),Organic Density (g/cm3),Total Carbon (g/kg),Carbon Density (mg/cm3),Total Nitrogen (g/kg),Total Phosphorus (mg/kg),Sand (%),Silt (%),Clay (%),Particle Size Mean (phi),Particle Size Median (phi),Particle Size Standard Deviation (phi),Radiometric Dating Method and Units,Isotope Concentration,Organization,Personnel,Comments,Latitude,Longitude
CRMS0220-S01,,6/13/2006,0 to 4,4.98,4.81,8280.00,4.70,77.72,0.1800,38.42,324.29,82.78,,,,0.0692,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56485220,-90.06896201
CRMS0220-S01,,6/13/2006,4 to 8,5.09,4.60,9120.00,5.10,79.53,0.2300,35.20,324.29,88.32,,,,0.0810,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56485220,-90.06896201
CRMS0220-S01,,6/13/2006,8 to 12,5.40,6.21,9070.00,5.10,78.54,0.2500,36.62,324.29,102.12,,,,0.0916,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56485220,-90.06896201
CRMS0220-S01,,6/13/2006,12 to 16,5.92,5.47,8270.00,4.60,82.15,0.1800,49.36,324.29,95.12,,,,0.0888,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56485220,-90.06896201
CRMS0220-S01,,6/13/2006,16 to 20,5.81,5.19,7605.00,4.20,86.18,0.1300,45.69,324.29,69.76,,,,0.0594,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56485220,-90.06896201
CRMS0220-S01,,6/13/2006,20 to 24,5.62,5.17,7960.00,4.40,83.39,0.1600,53.76,324.29,78.55,,,,0.0860,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56485220,-90.06896201
CRMS0220-S02,,6/13/2006,0 to 4,7.20,6.79,8010.00,4.40,82.19,0.1000,50.36,324.29,86.51,,,,0.0504,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516002,-90.06901502
CRMS0220-S02,,6/13/2006,4 to 8,6.32,5.95,8350.00,4.60,81.49,0.1900,42.41,324.29,115.35,,,,0.0806,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516002,-90.06901502
CRMS0220-S02,,6/13/2006,8 to 12,6.25,5.81,7350.00,4.10,81.42,0.1900,34.40,324.29,87.66,,,,0.0654,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516002,-90.06901502
CRMS0220-S02,,6/13/2006,12 to 16,6.15,5.71,7950.00,4.40,80.44,0.2100,31.93,324.29,89.86,,,,0.0671,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,J. Lambou; O. Thompson; C. Cheramie,,29.56516002,-90.06901502
