Station ID,Group,Sample Date (mm/dd/yyyy),Sample Depth (cm),Wet Soil pH (pH units),Dry Soil pH (pH units),Soil Specific Conductance (uS/cm),Soil Salinity (ppt),Soil Moisture Content (%),Bulk Density (g/cm3),Organic Matter (%),Wet Volume (cm3),Dry Volume (cm3),Biomass Target Flora Species,Belowground Live Biomass (g/m2),Belowground Dead Biomass (g/m2),Organic Density (g/cm3),Total Carbon (g/kg),Carbon Density (mg/cm3),Total Nitrogen (g/kg),Total Phosphorus (mg/kg),Sand (%),Silt (%),Clay (%),Particle Size Mean (phi),Particle Size Median (phi),Particle Size Standard Deviation (phi),Radiometric Dating Method and Units,Isotope Concentration,Organization,Personnel,Comments,Latitude,Longitude
CRMS2825-S01,,5/2/2008,0 to 4,5.70,4.49,4102.00,2.20,85.58,0.1500,44.74,324.29,68.35,,,,0.0671,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; O. Umejuru,,29.49829692,-90.44418019
CRMS2825-S01,,5/2/2008,4 to 8,5.99,4.86,4083.00,2.15,84.71,0.1800,38.11,324.29,66.20,,,,0.0686,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; O. Umejuru,,29.49829692,-90.44418019
CRMS2825-S01,,5/2/2008,8 to 12,6.43,5.50,4893.00,2.60,88.26,0.1300,52.28,324.29,56.38,,,,0.0680,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; O. Umejuru,,29.49829692,-90.44418019
CRMS2825-S01,,5/2/2008,12 to 16,6.33,5.35,5240.00,2.80,91.86,0.1000,68.46,324.29,56.13,,,,0.0685,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; O. Umejuru,,29.49829692,-90.44418019
CRMS2825-S01,,5/2/2008,16 to 20,6.62,5.40,5930.00,3.20,91.29,0.1000,71.62,324.29,49.75,,,,0.0716,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; O. Umejuru,,29.49829692,-90.44418019
CRMS2825-S01,,5/2/2008,20 to 24,6.68,5.48,5330.00,2.90,90.41,0.0900,73.60,324.29,58.43,,,,0.0662,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; O. Umejuru,,29.49829692,-90.44418019
CRMS2825-S02,,5/2/2008,0 to 4,5.61,5.00,3743.00,2.00,85.56,0.1300,46.48,324.29,64.94,,,,0.0604,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; O. Umejuru,,29.49841394,-90.44416694
CRMS2825-S02,,5/2/2008,4 to 8,5.82,5.07,3212.00,1.70,84.04,0.1800,39.27,324.29,39.71,,,,0.0707,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; O. Umejuru,,29.49841394,-90.44416694
CRMS2825-S02,,5/2/2008,8 to 12,6.60,5.57,3491.00,1.85,86.18,0.1600,42.59,324.29,64.57,,,,0.0681,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; O. Umejuru,,29.49841394,-90.44416694
CRMS2825-S02,,5/2/2008,12 to 16,6.55,5.68,3586.00,1.90,91.55,0.0900,67.21,324.29,42.21,,,,0.0605,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; O. Umejuru,,29.49841394,-90.44416694
CRMS2825-S02,,5/2/2008,16 to 20,6.83,5.75,4547.00,2.40,90.82,0.1200,68.61,324.29,43.72,,,,0.0823,,,,,,,,,,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; O. Umejuru,,29.49841394,-90.44416694
